ms000131,"United Kingdom","The Beatles",77029,"Hello Goodbye"
1967-12-02,45,billboard-us
1967-12-09,8,billboard-us
1967-12-16,3,billboard-us
1967-12-23,3,billboard-us
1967-12-30,1,billboard-us
1968-01-06,1,billboard-us
1968-01-13,1,billboard-us
1968-01-20,3,billboard-us
1968-01-27,6,billboard-us
1968-02-03,12,billboard-us
1968-02-10,31,billboard-us
1967-11-27,9,top100-uk
1967-12-04,1,top100-uk
1967-12-11,1,top100-uk
1967-12-18,1,top100-uk
1967-12-25,1,top100-uk
1968-01-01,1,top100-uk
1968-01-08,1,top100-uk
1968-01-15,1,top100-uk
1968-01-22,8,top100-uk
1968-01-29,16,top100-uk
1968-02-05,30,top100-uk
2010-11-18,190,top100-uk
