91523,Adele,"United Kingdom",2008-01-17,2016-02-20
billboard-us,43,2012-04-07,ms038561,"Rolling In The Deep"
billboard-us,49,2012-04-14,ms038561,"Rolling In The Deep"
billboard-us,88,2011-03-12,ms038634,"Set Fire To The Rain"
billboard-us,84,2011-08-13,ms038634,"Set Fire To The Rain"
billboard-us,88,2011-08-20,ms038634,"Set Fire To The Rain"
billboard-us,92,2011-09-10,ms038634,"Set Fire To The Rain"
billboard-us,80,2011-09-17,ms038634,"Set Fire To The Rain"
billboard-us,72,2011-09-24,ms038634,"Set Fire To The Rain"
billboard-us,72,2011-10-01,ms038634,"Set Fire To The Rain"
billboard-us,90,2011-10-08,ms038634,"Set Fire To The Rain"
billboard-us,91,2011-10-15,ms038634,"Set Fire To The Rain"
billboard-us,96,2011-11-05,ms038634,"Set Fire To The Rain"
billboard-us,89,2011-11-26,ms038634,"Set Fire To The Rain"
billboard-us,74,2011-12-03,ms038634,"Set Fire To The Rain"
billboard-us,56,2011-12-10,ms038634,"Set Fire To The Rain"
billboard-us,37,2011-12-17,ms038634,"Set Fire To The Rain"
billboard-us,21,2011-12-24,ms038634,"Set Fire To The Rain"
billboard-us,13,2011-12-31,ms038634,"Set Fire To The Rain"
billboard-us,7,2012-01-07,ms038634,"Set Fire To The Rain"
billboard-us,8,2012-01-14,ms038634,"Set Fire To The Rain"
billboard-us,4,2012-01-21,ms038634,"Set Fire To The Rain"
billboard-us,2,2012-01-28,ms038634,"Set Fire To The Rain"
billboard-us,1,2012-02-04,ms038634,"Set Fire To The Rain"
billboard-us,1,2012-02-11,ms038634,"Set Fire To The Rain"
billboard-us,2,2012-02-18,ms038634,"Set Fire To The Rain"
billboard-us,2,2012-02-25,ms038634,"Set Fire To The Rain"
billboard-us,2,2012-03-03,ms038634,"Set Fire To The Rain"
billboard-us,2,2012-03-10,ms038634,"Set Fire To The Rain"
billboard-us,3,2012-03-17,ms038634,"Set Fire To The Rain"
billboard-us,3,2012-03-24,ms038634,"Set Fire To The Rain"
billboard-us,4,2012-03-31,ms038634,"Set Fire To The Rain"
