91523,Adele,"United Kingdom",2008-01-17,2016-02-20
top100-uk,92,2008-07-24,ms048173,"Chasing Pavements"
top100-uk,93,2011-02-17,ms048173,"Chasing Pavements"
top100-uk,91,2011-02-24,ms048173,"Chasing Pavements"
top100-uk,92,2011-03-03,ms048173,"Chasing Pavements"
top100-uk,65,2008-04-10,ms050014,"COLD SHOULDER"
top100-uk,53,2008-04-17,ms050014,"COLD SHOULDER"
top100-uk,18,2008-04-24,ms050014,"COLD SHOULDER"
top100-uk,18,2008-05-01,ms050014,"COLD SHOULDER"
top100-uk,26,2008-05-08,ms050014,"COLD SHOULDER"
top100-uk,28,2008-05-15,ms050014,"COLD SHOULDER"
top100-uk,41,2008-05-22,ms050014,"COLD SHOULDER"
top100-uk,54,2008-05-29,ms050014,"COLD SHOULDER"
top100-uk,68,2008-06-05,ms050014,"COLD SHOULDER"
top100-uk,81,2008-06-12,ms050014,"COLD SHOULDER"
top100-uk,85,2011-12-04,ms052476,"Rumour Has It"
top100-uk,98,2011-12-11,ms052476,"Rumour Has It"
top100-uk,98,2012-01-08,ms052476,"Rumour Has It"
top100-uk,99,2012-02-26,ms052476,"Rumour Has It"
top100-uk,4,2012-10-07,ms064102,Skyfall
top100-uk,2,2012-10-14,ms064102,Skyfall
top100-uk,5,2012-10-21,ms064102,Skyfall
top100-uk,7,2012-10-28,ms064102,Skyfall
top100-uk,5,2012-11-04,ms064102,Skyfall
top100-uk,4,2012-11-11,ms064102,Skyfall
top100-uk,11,2012-11-18,ms064102,Skyfall
top100-uk,16,2012-11-25,ms064102,Skyfall
top100-uk,17,2012-12-02,ms064102,Skyfall
top100-uk,17,2012-12-09,ms064102,Skyfall
top100-uk,23,2012-12-16,ms064102,Skyfall
top100-uk,24,2012-12-23,ms064102,Skyfall
top100-uk,20,2012-12-30,ms064102,Skyfall
top100-uk,20,2013-01-06,ms064102,Skyfall
top100-uk,21,2013-01-13,ms064102,Skyfall
top100-uk,14,2013-03-03,ms064102,Skyfall
top100-uk,22,2013-03-10,ms064102,Skyfall
top100-uk,40,2013-03-24,ms064102,Skyfall
top100-uk,54,2013-03-31,ms064102,Skyfall
top100-uk,71,2013-04-21,ms064102,Skyfall
top100-uk,96,2013-04-28,ms064102,Skyfall
top100-uk,96,2013-05-05,ms064102,Skyfall
top100-uk,81,2013-11-03,ms064102,Skyfall
jwave,65,2011-02-06,ms038541,"Someone Like You"
jwave,86,2011-02-13,ms038541,"Someone Like You"
jwave,86,2011-03-13,ms038541,"Someone Like You"
jwave,10,2011-03-20,ms038541,"Someone Like You"
jwave,20,2011-03-27,ms038541,"Someone Like You"
jwave,30,2011-04-03,ms038541,"Someone Like You"
jwave,41,2011-04-10,ms038541,"Someone Like You"
jwave,24,2011-04-17,ms038541,"Someone Like You"
jwave,33,2011-04-24,ms038541,"Someone Like You"
jwave,85,2011-05-01,ms038541,"Someone Like You"
jwave,80,2011-11-06,ms038541,"Someone Like You"
jwave,66,2011-11-13,ms038541,"Someone Like You"
jwave,33,2012-01-01,ms038541,"Someone Like You"
jwave,47,2012-01-08,ms038541,"Someone Like You"
jwave,32,2012-01-15,ms038541,"Someone Like You"
jwave,47,2012-01-22,ms038541,"Someone Like You"
jwave,60,2012-03-04,ms038541,"Someone Like You"
jwave,90,2012-03-11,ms038541,"Someone Like You"
jwave,28,2010-11-28,ms038561,"Rolling In The Deep"
jwave,17,2010-12-05,ms038561,"Rolling In The Deep"
jwave,15,2010-12-12,ms038561,"Rolling In The Deep"
jwave,30,2010-12-19,ms038561,"Rolling In The Deep"
jwave,46,2010-12-26,ms038561,"Rolling In The Deep"
jwave,35,2011-01-02,ms038561,"Rolling In The Deep"
jwave,21,2011-01-09,ms038561,"Rolling In The Deep"
jwave,46,2011-01-16,ms038561,"Rolling In The Deep"
jwave,28,2011-01-23,ms038561,"Rolling In The Deep"
jwave,25,2011-02-06,ms038561,"Rolling In The Deep"
jwave,42,2011-02-13,ms038561,"Rolling In The Deep"
jwave,46,2011-02-20,ms038561,"Rolling In The Deep"
jwave,99,2011-02-27,ms038561,"Rolling In The Deep"
jwave,57,2011-03-06,ms038561,"Rolling In The Deep"
jwave,51,2011-03-13,ms038561,"Rolling In The Deep"
jwave,43,2011-03-20,ms038561,"Rolling In The Deep"
jwave,75,2011-03-27,ms038561,"Rolling In The Deep"
jwave,4,2012-01-08,ms038561,"Rolling In The Deep"
jwave,3,2012-01-15,ms038561,"Rolling In The Deep"
jwave,3,2012-01-22,ms038561,"Rolling In The Deep"
jwave,7,2012-02-05,ms038561,"Rolling In The Deep"
jwave,22,2012-02-12,ms038561,"Rolling In The Deep"
jwave,9,2012-02-19,ms038561,"Rolling In The Deep"
jwave,1,2012-02-26,ms038561,"Rolling In The Deep"
jwave,1,2012-03-04,ms038561,"Rolling In The Deep"
jwave,1,2012-03-11,ms038561,"Rolling In The Deep"
jwave,5,2012-03-18,ms038561,"Rolling In The Deep"
jwave,16,2012-03-25,ms038561,"Rolling In The Deep"
jwave,48,2012-04-01,ms038561,"Rolling In The Deep"
jwave,49,2012-04-08,ms038561,"Rolling In The Deep"
jwave,68,2012-04-15,ms038561,"Rolling In The Deep"
jwave,72,2012-04-22,ms038561,"Rolling In The Deep"
jwave,46,2012-05-06,ms038561,"Rolling In The Deep"
jwave,65,2012-05-13,ms038561,"Rolling In The Deep"
jwave,91,2012-05-20,ms038561,"Rolling In The Deep"
jwave,70,2008-01-27,ms048173,"Chasing Pavements"
jwave,10,2008-02-03,ms048173,"Chasing Pavements"
jwave,20,2008-02-10,ms048173,"Chasing Pavements"
jwave,10,2008-02-17,ms048173,"Chasing Pavements"
jwave,12,2008-02-24,ms048173,"Chasing Pavements"
jwave,11,2008-03-02,ms048173,"Chasing Pavements"
jwave,7,2008-03-09,ms048173,"Chasing Pavements"
jwave,4,2008-03-16,ms048173,"Chasing Pavements"
jwave,2,2008-03-23,ms048173,"Chasing Pavements"
jwave,7,2008-04-06,ms048173,"Chasing Pavements"
jwave,16,2008-04-13,ms048173,"Chasing Pavements"
jwave,24,2008-04-20,ms048173,"Chasing Pavements"
jwave,34,2008-04-27,ms048173,"Chasing Pavements"
jwave,57,2008-05-04,ms048173,"Chasing Pavements"
jwave,82,2008-11-02,ms048173,"Chasing Pavements"
jwave,77,2009-02-15,ms048173,"Chasing Pavements"
jwave,55,2009-02-22,ms048173,"Chasing Pavements"
jwave,59,2009-03-01,ms048173,"Chasing Pavements"
jwave,75,2008-03-16,ms050014,"COLD SHOULDER"
jwave,26,2012-10-14,ms064102,Skyfall
jwave,15,2012-10-21,ms064102,Skyfall
jwave,5,2012-10-28,ms064102,Skyfall
jwave,7,2012-11-04,ms064102,Skyfall
jwave,15,2012-11-11,ms064102,Skyfall
jwave,20,2012-11-18,ms064102,Skyfall
jwave,24,2012-11-25,ms064102,Skyfall
jwave,60,2012-12-02,ms064102,Skyfall
jwave,10,2012-12-09,ms064102,Skyfall
jwave,14,2012-12-16,ms064102,Skyfall
jwave,19,2012-12-23,ms064102,Skyfall
jwave,23,2013-01-06,ms064102,Skyfall
jwave,63,2013-01-13,ms064102,Skyfall
jwave,63,2013-01-20,ms064102,Skyfall
jwave,97,2013-01-27,ms064102,Skyfall
jwave,98,2013-02-03,ms064102,Skyfall
jwave,60,2013-03-03,ms064102,Skyfall
jwave,46,2013-03-10,ms064102,Skyfall
jwave,81,2013-03-17,ms064102,Skyfall
jwave,75,2011-02-13,ms075091,"I'LL BE WAITING"
jwave,97,2011-02-20,ms075091,"I'LL BE WAITING"
jwave,84,2011-02-27,ms075091,"I'LL BE WAITING"
jwave,92,2011-11-27,ms075733,"ROLLING IN THE DEEP(JAMIE XX REMIX)"
jwave,60,2011-12-11,ms075733,"ROLLING IN THE DEEP(JAMIE XX REMIX)"
jwave,45,2011-12-18,ms075733,"ROLLING IN THE DEEP(JAMIE XX REMIX)"
jwave,41,2011-12-25,ms075733,"ROLLING IN THE DEEP(JAMIE XX REMIX)"
jwave,45,2012-01-01,ms075733,"ROLLING IN THE DEEP(JAMIE XX REMIX)"
