77323,"Bee Gees",Australia,1967-05-02,2001-08-16
top100-uk,31,1980-02-07,ms019610,"SPIRITS (HAVING FLOWN)"
top100-uk,36,1980-02-14,ms019610,"SPIRITS (HAVING FLOWN)"
top100-uk,22,1987-10-01,ms022578,"You Win Again"
top100-uk,6,1987-10-08,ms022578,"You Win Again"
top100-uk,1,1987-10-15,ms022578,"You Win Again"
top100-uk,1,1987-10-22,ms022578,"You Win Again"
top100-uk,1,1987-10-29,ms022578,"You Win Again"
top100-uk,1,1987-11-05,ms022578,"You Win Again"
top100-uk,3,1987-11-12,ms022578,"You Win Again"
top100-uk,7,1987-11-19,ms022578,"You Win Again"
top100-uk,15,1987-11-26,ms022578,"You Win Again"
top100-uk,28,1987-12-03,ms022578,"You Win Again"
top100-uk,38,1991-03-07,ms025846,"SECRET LOVE"
top100-uk,22,1991-03-14,ms025846,"SECRET LOVE"
top100-uk,12,1991-03-21,ms025846,"SECRET LOVE"
top100-uk,10,1991-03-28,ms025846,"SECRET LOVE"
top100-uk,5,1991-04-04,ms025846,"SECRET LOVE"
top100-uk,11,1991-04-11,ms025846,"SECRET LOVE"
top100-uk,12,1991-04-18,ms025846,"SECRET LOVE"
top100-uk,23,1991-04-25,ms025846,"SECRET LOVE"
top100-uk,37,1991-05-02,ms025846,"SECRET LOVE"
top100-uk,32,1993-08-19,ms026784,"Paying The Price Of Love"
top100-uk,25,1993-08-26,ms026784,"Paying The Price Of Love"
top100-uk,23,1993-09-02,ms026784,"Paying The Price Of Love"
top100-uk,38,1993-09-09,ms026784,"Paying The Price Of Love"
top100-uk,18,1997-10-30,ms027882,"Still Waters (Run Deep)"
top100-uk,38,1997-11-06,ms027882,"Still Waters (Run Deep)"
top100-uk,59,1997-11-13,ms027882,"Still Waters (Run Deep)"
top100-uk,38,1993-11-25,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,13,1993-12-02,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,6,1993-12-09,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,5,1993-12-16,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,4,1993-12-23,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,4,1993-12-30,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,6,1994-01-06,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,8,1994-01-13,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,12,1994-01-20,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,19,1994-01-27,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,34,1994-02-03,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,48,1994-02-10,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,63,1994-02-17,ms028054,"FOR WHOM THE BELL TOLLS"
top100-uk,5,1997-02-20,ms028523,Alone
top100-uk,5,1997-02-27,ms028523,Alone
top100-uk,5,1997-03-06,ms028523,Alone
top100-uk,11,1997-03-13,ms028523,Alone
top100-uk,20,1997-03-20,ms028523,Alone
top100-uk,21,1997-03-27,ms028523,Alone
top100-uk,39,1997-04-03,ms028523,Alone
top100-uk,51,1997-04-10,ms028523,Alone
top100-uk,67,1997-04-17,ms028523,Alone
top100-uk,30,1994-04-07,ms028905,"HOW TO FALL IN LOVE PART 1"
top100-uk,44,1994-04-14,ms028905,"HOW TO FALL IN LOVE PART 1"
top100-uk,49,1994-04-21,ms028905,"HOW TO FALL IN LOVE PART 1"
top100-uk,68,1994-04-28,ms028905,"HOW TO FALL IN LOVE PART 1"
top100-uk,99,1994-05-05,ms028905,"HOW TO FALL IN LOVE PART 1"
top100-uk,14,1997-06-12,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,42,1997-06-19,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,70,1997-06-26,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,80,1997-07-31,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,89,1997-08-07,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,82,1997-08-14,ms037174,"I COULD NOT LOVE YOU MORE"
top100-uk,18,2001-03-29,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,26,2001-04-05,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,40,2001-04-12,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,51,2001-04-19,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,64,2001-04-26,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,92,2001-05-17,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,97,2001-05-24,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,100,2001-05-31,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,82,2001-06-07,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,92,2001-06-14,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,91,2001-06-21,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,86,2001-07-19,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,100,2001-08-09,ms054373,"THIS IS WHERE I CAME IN"
top100-uk,96,2001-08-16,ms054373,"THIS IS WHERE I CAME IN"
jwave,36,1989-09-24,ms023196,One
jwave,21,1989-10-01,ms023196,One
jwave,20,1989-10-08,ms023196,One
jwave,23,1989-10-15,ms023196,One
jwave,65,1991-04-28,ms025846,"SECRET LOVE"
jwave,41,1991-05-05,ms025846,"SECRET LOVE"
jwave,25,1991-05-12,ms025846,"SECRET LOVE"
jwave,42,1991-05-19,ms025846,"SECRET LOVE"
jwave,46,1991-05-26,ms025846,"SECRET LOVE"
jwave,40,1991-06-02,ms025846,"SECRET LOVE"
jwave,72,1991-06-16,ms025846,"SECRET LOVE"
jwave,69,1991-06-23,ms025846,"SECRET LOVE"
jwave,60,1997-03-23,ms028523,Alone
jwave,41,1997-04-06,ms028523,Alone
jwave,56,1997-04-13,ms028523,Alone
jwave,62,1997-04-20,ms028523,Alone
jwave,68,1997-04-27,ms028523,Alone
jwave,80,1997-05-04,ms028523,Alone
jwave,81,1989-05-07,ms063230,"ORDINARY LIVES"
jwave,79,1989-05-14,ms063230,"ORDINARY LIVES"
jwave,100,1989-05-14,ms063230,"ORDINARY LIVES"
jwave,93,1991-05-12,ms066958,"HAPPY EVER AFTER"
jwave,93,1991-05-19,ms066958,"HAPPY EVER AFTER"
jwave,79,1991-06-02,ms066958,"HAPPY EVER AFTER"
